,EPOXY STRUCTURE,EEW,Flame_retardant,Flame_retardant_AdditionAmount(wt%),Curing_agent ,Curing_agent_AdditionAmount(wt%),Curing_Tem1,Curing_Time1,Curing_Tem2,Curing_Time2,Curing_Tem3,Curing_Time3,Curing_Tem4,Curing_Time4,Curing_Tem5,Curing_Time5,Curing_Tem6,Curing_Time6,Curing_Tem7,Curing_Time8,Curing_Tem9,Curing_Time9,Curing_Tem10,Curing_Time10,Curing_Pressure,Curing_UV,Other_Material_1,Other_Material_AdditionAmount_1 (wt%),Other_Material_2,Other_Material_AdditionAmount_2 (wt%),Other_Material_3,Other_Material_AdditionAmount_3 (wt%)
1,CC(C)(C1=CC=C(OCC2CO2)C=C1)C1=CC=C(OCC2CO2)C=C1,227 ,O=[Si]=O,18.65 ,C1CC(CCC1CC2CCC(CC2)N)N,23.60 ,80 ,2 ,120 ,2 ,150 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,CC(C)(COCC1CO1)COCC2CO2,6.09 ,,0 ,,0 
3,CC(C)(C1=CC=C(OCC2CO2)C=C1)C1=CC=C(OCC2CO2)C=C1,227 ,O=[Si]=O,4.73 ,C1CC(CCC1CC2CCC(CC2)N)N,22.49 ,80 ,2.5 ,120 ,2.5 ,150 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,0 ,,0 ,,0 
2,CC(C)(C1=CC=C(OCC2CO2)C=C1)C1=CC=C(OCC2CO2)C=C1,227 ,CC(CO)OC(C)CO.CC(COCC(C)O)O,20.31 ,NC(C=C1)=CC=C1CC2=CC=C(N)C=C2,18.77 ,80 ,2 ,120 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,0 ,,0 ,,0 
4,CC(C)(C1=CC=C(OCC2CO2)C=C1)C1=CC=C(OCC2CO2)C=C1,227 ,OCC1=CC=CO1,13.25 ,C1CC(CCC1CC2CCC(CC2)N)N,20.48 ,80 ,2 ,120 ,1 ,20 ,1 ,150 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,0 ,,0 ,,0 
5,CC(C)(C1=CC=C(OCC2CO2)C=C1)C1=CC=C(OCC2CO2)C=C1,227 ,NC(C=C1)=CC=C1CC2=CC=C(N)C=C2,17.94 ,NC(C=C1)=CC=C1CC2=CC=C(N)C=C2,17.94 ,165 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,0 ,,0 ,,0 
6,CC(C)(C1=CC=C(OCC2CO2)C=C1)C1=CC=C(OCC2CO2)C=C1,227 ,OCC1=CC=CO1,12.87 ,C(CN)CN,9.91 ,40 ,3 ,80 ,1.5 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,C1C(O1)COCCOCC2CO2,12.87,,0 ,,0 
7,CC(C)(C1=CC=C(OCC2CO2)C=C1)C1=CC=C(OCC2CO2)C=C1,227 ,CC(CO)OC(C)CO.CC(COCC(C)O)O,14.97,NC(C=C1)=CC=C1CC2=CC=C(N)C=C2,25.16,120 ,2 ,150 ,0.5 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,C1C(O1)COCCOCC2CO2,23.94,,0 ,,0 
8,CC(C)(C1=CC=C(OCC2CO2)C=C1)C1=CC=C(OCC2CO2)C=C1,227 ,CC(CO)OC(C)CO.CC(COCC(C)O)O,18.65,C1CC(CCC1CC2CCC(CC2)N)N,19.2,80 ,2 ,120 ,2 ,150 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,0 ,,0 ,,0 
9,CC(C)(C1=CC=C(OCC2CO2)C=C1)C1=CC=C(OCC2CO2)C=C1,227 ,C1=CC(=CC=C1N)S(=O)(=O)N=C(N)N.O,5.28,C1CC(CCC1CC2CCC(CC2)N)N,22.36,80 ,2 ,120 ,2 ,150 ,1.5 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,0 ,,0 ,,0 
10,CC(C)(C1=CC=C(OCC2CO2)C=C1)C1=CC=C(OCC2CO2)C=C1,227 ,CC(CO)OC(C)CO.CC(COCC(C)O)O,15.56,CC1(CC(CC(C1)(C)CN)N)C,17.22,110 ,0.5 ,180 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,0 ,,0 ,,0 
